,text,date_published
0,swear mark present every sun moon episode lmao,2021-03-09
2,know yuta hugs holds mark left hand 1 04,2021-03-08
3,3 32 lucas idk thinking,2021-03-08
4,rlly need join winwin stan tot,2021-03-08
6,cant decide im luwin marwin,2021-03-05
8,90 comments yumark yuwin,2021-03-04
9,taeil represents winwin lovers,2021-03-04
10,yuta winwin mark invented poly amory,2021-03-04
11,unpopular opinion need moments jungwoo winwin together,2021-03-03
13,sun moon interviewing winwin lovers club literally presidents club,2021-03-03
14,winwin even fanclub nct literally two mcs biggest fan,2021-03-02
15,show way funny,2021-03-02
16,yuta said love winwin mark lee behind,2021-03-02
19,fast,2021-03-01
20,focused jungwoo fight sofa get convenience,2021-03-01
22,watched check finally jaehyun ten still,2021-02-27
26,someone called winwin harem,2021-02-25
27,think ten lucas hahahahaha,2021-02-25
29,haechan explaining yuta love towards mark winwin interrupted nakamoto want exposed,2021-02-23
30,2 40 mark ship yuwin cannot say ship yuwin,2021-02-23
36,jajasjj win win fan club pls,2021-02-19
37,want sun moon,2021-02-19
39,winwin deserve love yes baby yesss u deserve love happiness entire world,2021-02-19
41,3 22 love actor,2021-02-17
42,jungwoo winwin cutest members,2021-02-17
45,0 50 jungwoo,2021-02-17
50,talk jungwoo fall stop laughing,2021-02-15
51,mark everywhere sun moon,2021-02-14
53,minute watching breath happy pill,2021-02-14
54,enough space invite members representatives,2021-02-13
55,always remember videos first time research nct127 differentiate understand inner jokes soon moon brought well videos singing song live today say nctzen love,2021-02-13
58,laughing hard jungwoo 0 52 haechan laugh made funnier ahjsjskaks two,2021-02-10
59,course left nct greatest love winwin last interview,2021-02-08
60,ow sad short love mini show nct wish sun moon special episode 00z guest love see nct 00z member one frame,2021-02-07
61,lol number times mark debuted also number times appeared sun moon guy really everywhere,2021-02-06
62,shipping haechan mark haechan ship yuta mark lol world thisss,2021-02-06
64,0 57 haechan laugh gets everytime,2021-02-05
65,winwin fanboys everywhere _ btw minus jaehyun jisung everyone,2021-02-04
66,adore winwin czennies,2021-02-04
67,really missed yuta winwinie much,2021-02-03
68,number mark appearing sun moon depicts number sub units,2021-02-03
69,mark literally biggest yuwin shipper,2021-02-02
72,winwin yuta taile triangle winwin yuta mark triangle mark jungwoo yuta triangle many triangles nct,2021-02-02
74,winwin maybe fans,2021-01-31
75,miss nct daily,2021-01-30
76,winwin fan club nct actually whole nct members love 22 members whipped winwin really special,2021-01-30
77,really amazing thank sun moon make us happy,2021-01-29
78,love every person vidio,2021-01-29
79,4 01 lucas jungwoo,2021-01-28
82,winwin best,2021-01-27
83,winwin best,2021-01-27
84,winwin best,2021-01-27
85,sure groupchat called winwin lover point,2021-01-27
86,thought winwin lover group inside joke never expected real thing lol,2021-01-26
87,haechan whipped ww,2021-01-26
88,jaehyun know chance winwin,2021-01-25
89,get man look way mark looks yuta 3 49,2021-01-25
90,everyone loves winwin,2021-01-24
94,waiting new episodes sun moon waiting next please program,2021-01-22
95,please reproduce content,2021-01-22
96,neos love winwin guys even made session gather winwin lover admire lol stop laughing,2021-01-22
97,real competition winwin fans vs members,2021-01-21
99,3 46 funny,2021-01-20
100,winwin lover club includes hosts situation,2021-01-20
101,way barely express feelings anyone inspiring open loved ones,2021-01-20
102,even winwin bias biases bias,2021-01-20
