,text,date_published
0,dont stop baby dont stop,2021-03-09
1,look like divorced couple good terms still friends still spark lololol taeten,2021-03-06
2,whatever people say og ship taeten bds shippers anthem bye,2021-03-06
4,imagine waking middle night turn around see taeil smiling face mood light,2021-03-04
8,haechan taking every opportunity compliment show funny like swear guests could crying say show great brings every emotion,2021-02-22
9,taeyong sing infinite comeback thought taeil hahaha ah cutie seems like really loves kpop old song remember singing love like oxygen,2021-02-22
10,damn love duo much,2021-02-21
11,everytime watch episode feel like taeil missed ten look looks ten,2021-02-18
12,taeyong cute sometimes duality tho,2021-02-18
15,two power duo hope promoted subunit perfect example every good vocalist deserves good rapper excellent dancers visuals top know well lucas said taeyong hyung ten hyung together boom lying,2021-02-10
16,superm best thing happened 2020 cause taeyong ten reunited,2021-02-04
17,taeyong ten rival trainees friends,2021-02-04
18,ten never awkward people lot confident idk im curious,2021-02-02
19,goshh taeil moon top keeps distracting lol,2021-01-31
21,ten like catfuseddd fall airbag thooo sooo cuteee see cat evertime see himm ofcoz handsome hawt cute mischievous cat,2021-01-28
22,taeyongs answers show much humble leader say tens back dancer amazing dancer right yet never tries compare show neither ten great combo,2021-01-27
23,please give bds pt 2,2021-01-26
24,really acted like superm never existed lmao,2021-01-25
26,lion king queen nct,2021-01-21
27,sm puts moon moon taeil shirt sells ill buy,2021-01-20
29,haechaannnn hahaha words witty omoooo,2021-01-20
31,agree taeyong would buy merch teletubbies sun baby haechan,2021-01-19
32,5 42 finally members discuss photo icon sun moon,2021-01-18
34,ten looks pretty cute,2021-01-16
35,ten taeyong attractive duo,2021-01-16
36,4 27 hope 23 members fun performing injured,2021-01-14
37,hope 23 members fun performing without injured 1 priority really hope taeyong ah please take care,2021-01-14
38,without injured really sad hear taeyong speedy recovery ty love,2021-01-11
40,said without injured injured,2021-01-10
41,hold idk see sun haechan face photoshopped looks like sun baby tellitubbies,2021-01-08
43,haechan already 6th episode taeyong hyung congratulates us yes taeyong best leader,2021-01-03
44,legendary duo,2021-01-01
47,2 41 yeah minds,2020-12-29
48,wtf one notice taeyong singing infinite debut song 1 44 come back inspirit nctzen souls die happy,2020-12-29
49,4 33 one ended injured breaks heart get well soon taeyong,2020-12-29
50,watch whole series want see crack haechan taeil,2020-12-28
51,sm put 2 member song already ace,2020-12-26
52,comedians lucky haechan tail chose music,2020-12-26
53,taeyong miss much please take care health please come back quickly love,2020-12-25
54,taeyong hope members fun get injured get well soon leader,2020-12-25
55,get well soon taeyong love youu,2020-12-25
56,taeyong best leader member congratulated sun moon show hahahaha,2020-12-24
57,wayzennies nctzen nctzen wayzennies please help wayv win streaming https youtu dfcaoaxs wu dec 29 2020 let wayv win wayv korea music show target 1 million viewers 70 result youtube views thank czennies let us support nct units,2020-12-22
58,aaaa true ten vocal improved lot love hear sing day,2020-12-22
59,still stop laugh haechan closing leave,2020-12-21
60,ten baby come taeyong inside im already right side lol haha two great chemistry want see duo looking forward ten solo backup dancer taeyong huhu sweet,2020-12-20
61,haechan found combination intersting u dear haechan us,2020-12-20
62,one still misses taeten,2020-12-18
64,best show ever,2020-12-16
65,sm please give us baby stop pt 2,2020-12-14
69,many familiar open ur rice trying pretend nct u exist,2020-12-09
70,love everyone acting super even exists lmao,2020-12-09
71,lol like real interview sun moon series haha really appreciate episode,2020-12-06
72,3 01 taeyong ready backup dancer ten,2020-12-05
73,nct2020 bds v 2 expected station superm,2020-12-05
75,ten taeyong members probably come gay soon,2020-12-04
77,miss taeyong ten,2020-12-01
78,coming back week thoughs empty thoughts taeten,2020-12-01
79,need taeten collab,2020-11-30
80,ten taeyong meet long time head superm,2020-11-29
82,taeil lowkey singing dashi dorawa infinite,2020-11-28
83,taeyong really mom nct,2020-11-27
84,cheetahphone really lmao,2020-11-26
85,haechan taeil show becoming popular worldwide fame taeyong start today,2020-11-25
86,nike adidas duo,2020-11-25
87,acting like superm,2020-11-23
88,duo baby stop god huhu,2020-11-22
89,sure taeyong living manhwa character kitsune mythological creature feel like really sure,2020-11-19
90,wait pretending superm together lol seen eachother long time except one world tour last year,2020-11-19
91,taeyong rapping hahahah speak way fast hahahah,2020-11-18
92,everyone stop sleeping taeten yes also talking sm,2020-11-18
93,ship really like atmosphere two stay together,2020-11-17
94,vote mama 2020 comin,2020-11-15
95,episode haechan speaks less,2020-11-14
99,baby stop 2 0 sounds promising hopefully point,2020-11-07
100,live without sun moon alright also taeyong ten dorks background introduction happening beginning xd,2020-11-07
101,joke u essem stuck bds era taeten setting free,2020-11-06
103,waiting baby come hoping wait long ten hyung,2020-11-05
104,taeyong wishes one injured nct 2020 comeback jisung takes break knee injury poor maknae hope get better soon,2020-11-05
105,get smiling moon sky 3 sm get,2020-11-04
106,haechan taeil together really fantastic amazing gorgeous 3,2020-11-04
107,5 45 make merchandise see ty work sm long business instinct shows,2020-11-03
110,love bbtaeyong step back like bbten backup dancer,2020-10-31
111,whyyyy ten captivating lately oh dear,2020-10-31
119,want first nct u work together dudde combination powerful like even debut still know call day rookie group,2020-10-27
120,ty hoped 23 members fun performing without injured 1 prioty moomm cryingg good leader hhuhuhuhu,2020-10-26
121,1 57 taeyong good leader yall know appreciation everything taeyong failed appreciate things specially members,2020-10-26
123,1 43 anybody notice infinite reference okay,2020-10-26
125,taeyong speaks really well fast veteran contents yeokssi uri leader,2020-10-25
