video_id,text,author,like_count,date_published,date_updated
w_52Ca6gkPE,Dont stop Baby Dont Stop,AC EL,0,2021-03-09T12:18:32Z,2021-03-09T12:18:32Z
w_52Ca6gkPE,They look like a divorced couple but in good terms and still friends. But they still have that spark LOLOLOL #TAETEN,Game With Aysha,1,2021-03-06T19:39:38Z,2021-03-06T19:39:38Z
w_52Ca6gkPE,Whatever people say THE OG SHIP TAETEN. 💚 BDS Shippers anthem. Bye,Game With Aysha,1,2021-03-06T19:35:11Z,2021-03-06T19:35:11Z
w_52Ca6gkPE,ohhhhhh teatennnnnnnn,Mithila Kwang,0,2021-03-05T02:28:55Z,2021-03-05T02:28:55Z
w_52Ca6gkPE,"Imagine waking up in the middle of the night, turn around and see Taeil smiling face as your mood light 😂😂",Andy Rizqy,0,2021-03-04T05:38:36Z,2021-03-04T05:38:36Z
w_52Ca6gkPE,I miss taeten,markmeiue,0,2021-03-03T13:07:24Z,2021-03-03T13:07:24Z
w_52Ca6gkPE,너무귀여웡,ᄆᄋ,0,2021-02-24T15:48:46Z,2021-02-24T15:48:46Z
w_52Ca6gkPE,TAETEN,Minh Thư Mai Thị,1,2021-02-23T16:49:31Z,2021-02-23T16:49:31Z
w_52Ca6gkPE,"haechan taking every opportunity to compliment the show is so funny like i swear their guests could be crying and they'd say ""that's why our show is so great it brings out every emotion""",Kaydii,0,2021-02-22T20:18:49Z,2021-02-22T20:18:49Z
w_52Ca6gkPE,"Did taeyong just sing infinite comeback again? 🤣🤣💖 i thought it was taeil hahaha ah cutie seems like he really loves kpop old(?) Song, i remember he was singing to love like oxygen too 😂",Al Pockiy,0,2021-02-22T06:25:45Z,2021-02-22T06:25:45Z
w_52Ca6gkPE,Damn i love this duo so much,Sabrina Khoirunnisa,0,2021-02-21T12:54:36Z,2021-02-21T12:54:36Z
w_52Ca6gkPE,"Everytime I watch this episode, I feel like Taeil missed Ten. Look at him when he looks at Ten 😭",kwishy yy,0,2021-02-18T13:41:04Z,2021-02-18T13:41:04Z
w_52Ca6gkPE,taeyong is just so cute sometimes the duality tho,Francine Guerra,0,2021-02-18T04:29:05Z,2021-02-18T04:29:05Z
w_52Ca6gkPE,okayyy  di sun n moon taeyons's taeyonhhg,Mochie Jinsoo,0,2021-02-15T06:21:57Z,2021-02-15T06:21:57Z
w_52Ca6gkPE,Haechan dan taeil🥰😍,Pengukir Mimpi,0,2021-02-12T03:19:31Z,2021-02-12T03:19:31Z
