video_id,text,author,like_count,date_published,date_updated
ecQWoZzLXSM,Can someone tell me how Chenle name is pronounced?,Ashleigh Johnston,0,2021-03-08T10:29:19Z,2021-03-08T10:29:19Z
ecQWoZzLXSM,"2:38 , hey * whistles* i have a bias plz",YOSHI YOSHI,0,2021-03-08T04:44:39Z,2021-03-08T04:44:39Z
ecQWoZzLXSM,Chenji are inseparable..😊,Nurfarah Izzati,1,2021-03-02T14:17:04Z,2021-03-02T14:17:04Z
ecQWoZzLXSM,kun auranya kayak suho anjir,ARIZA AULIANTI,0,2021-02-27T09:55:10Z,2021-02-27T09:55:10Z
ecQWoZzLXSM,순간 천러는 왜 곰돌이지? 싶었는데 생각해보니 하리보가 천러였고 천러가 하리보 였어. 여러분.. 츄잉껌 곰돌모자 쓴 뽀작 러러 꼭 보세요ㅠㅠㅠㅠ,수만이네_꽃밭,0,2021-02-23T07:59:31Z,2021-02-23T07:59:31Z
ecQWoZzLXSM,they're all cute teddy bearssssssssss,maambo,1,2021-02-21T18:14:20Z,2021-02-21T18:14:20Z
ecQWoZzLXSM,1:42 해찬이도 정며들었다...,다연,0,2021-02-21T14:49:17Z,2021-02-21T14:49:17Z
ecQWoZzLXSM,🌞🌻✨,Sun flower,0,2021-02-18T14:05:47Z,2021-02-18T14:05:47Z
ecQWoZzLXSM,Maybe it's only me but i can really see resembles of haechan and iz*one's yena,Tita rhai,0,2021-02-16T02:49:19Z,2021-02-16T02:49:19Z
ecQWoZzLXSM,Kun’s visuals are so underrated like??? His visuals are definitely on a different level.,stanning legends only,0,2021-02-15T17:35:15Z,2021-02-15T17:35:15Z
ecQWoZzLXSM,I want a charisma like Kun have,zed.k.,0,2021-02-13T00:21:09Z,2021-02-13T00:21:19Z
ecQWoZzLXSM,チョンロ❤️❤️,asmasm89,0,2021-02-08T10:35:50Z,2021-02-08T10:35:50Z
ecQWoZzLXSM,i miss nct 2020 :(,always missing moon taeil,0,2021-02-07T16:38:46Z,2021-02-07T16:38:46Z
ecQWoZzLXSM,"Kun and chenle are my ult most fav duo of all times ! 
Most precious and yass y'all noticed how powerful vocal line is being represented in this video like 4 gems indeed !",aastha,1,2021-01-31T14:33:46Z,2021-01-31T14:33:46Z
ecQWoZzLXSM,"When Haechan says anything: everyone gets flustered
God is indeed fair to introduce Chenle : The one who makes Haechan flustered.
All the NCTzens : experience the neo peace!!!",Shalinee Singh,2,2021-01-28T07:24:55Z,2021-01-28T07:24:55Z
ecQWoZzLXSM,"Nct really said we have no idea how these two can be paired but you guys have to meet Chenle's dad. That's his dad 
Also like Kun in this video is mesmerising every time he came up on screen i literally gasped... His visual is unmatched i think",Eda Biri,2,2021-01-27T19:48:56Z,2021-01-27T19:48:56Z
ecQWoZzLXSM,I'm binge watching these cause I miss NCT 2020.,Samrin Nazari,2,2021-01-24T18:46:50Z,2021-01-24T18:46:50Z
ecQWoZzLXSM,chenle is cute even without aegyo,bungaa space,2,2021-01-16T02:53:06Z,2021-01-16T02:53:06Z
ecQWoZzLXSM,KUN IS SO ACTRATIVE UGHHHH,bungaa space,1,2021-01-16T02:52:50Z,2021-01-16T02:52:50Z
ecQWoZzLXSM,"Haechan saying ""please leave"" IT'S THE FUNNIEST PART HAHSHSHAGSHAH",bungaa space,0,2021-01-16T02:52:29Z,2021-01-16T02:52:29Z
ecQWoZzLXSM,"1:19 Chenle : kun is a bear? he doesn't cute
Haechan : it's not the time to bicker rn

PLS THIS KID- 😭😭💀",bungaa space,1,2021-01-16T02:46:44Z,2021-01-16T02:46:44Z
ecQWoZzLXSM,"No one : 
Literally no one :
Haechan at the end of every video : *𝗿𝗮𝗶𝘀𝗲𝘀 𝗵𝗮𝗻𝗱 * 𝗞𝗵𝗮𝗦𝗬𝗲𝗢",Taehyungmycriminal v,3,2021-01-15T00:23:53Z,2021-01-15T00:24:20Z
ecQWoZzLXSM,I seriously laughed so hard when heechan did that hi i am teddy bear heechan...he was cute and funnny at the same time,waiting for 2025 for EXO cb,1,2021-01-12T12:24:06Z,2021-01-12T12:24:06Z
ecQWoZzLXSM,Yes chenle you are cute and yes the fans thinks you’re cute. wow kun is a pig wow he’s the same as me but different birthday. I never heard of a pudu and never seen it.,Fiona Prom,2,2021-01-11T06:13:08Z,2021-01-11T06:13:08Z
ecQWoZzLXSM,kun e chenle são muito fofos,HANNAH DUDA,0,2021-01-10T18:31:52Z,2021-01-10T18:31:52Z
ecQWoZzLXSM,haechan and chenle imitating peacocks is the best thing i have seen today,ahsa,1,2021-01-10T12:50:19Z,2021-01-10T12:50:19Z
ecQWoZzLXSM,"ahora ya no solo tenemos el *""okey cut!""* de haechan, sino que también el *""leave!""* jajaja xD he is so funny~",autumn 0f dream,0,2021-01-10T01:13:01Z,2021-01-10T01:13:01Z
ecQWoZzLXSM,Kun is so freaking handsome😍😍.. I love kunLe bondings they give me real sibling vibe..,Nipun Nipun,1,2021-01-08T22:36:59Z,2021-01-08T22:36:59Z
ecQWoZzLXSM,I don't know if it just me but I feel like chenle looks like jimin from bts a little bit specially when he smiles,mon bébé chocho,1,2021-01-06T21:21:22Z,2021-01-06T21:21:22Z
ecQWoZzLXSM,말랑뽀쟉곰돌 이해찬 사랑해 🐻,__,1,2020-12-31T17:33:31Z,2020-12-31T17:33:31Z
ecQWoZzLXSM,KUUUUUN!!!! excuse me??? y your so handsome😭😭😭,sʜᴏᴛᴀʀᴏ ɪs ᴄᴜᴛᴇ,1,2020-12-31T03:09:27Z,2020-12-31T03:09:27Z
ecQWoZzLXSM,"no one :
really nobody:
taeil:
kun:
haechan:

chenle : JISUNG PWARK",chenlo,4,2020-12-27T12:00:07Z,2020-12-27T12:00:07Z
ecQWoZzLXSM,chenle is real scorpio. i can't believe he is sagittarius howwww,chenlo,2,2020-12-27T11:54:39Z,2020-12-27T11:54:39Z
ecQWoZzLXSM,kun kinda like chenle's father. i love their relationship!,chenlo,4,2020-12-27T11:52:42Z,2020-12-27T11:52:42Z
ecQWoZzLXSM,haechan and kun. my ults ♡,mari,1,2020-12-21T21:26:23Z,2020-12-21T21:26:23Z
ecQWoZzLXSM,Burung Merak rasa burung Gagak LOL:V,Shei Bae,0,2020-12-20T09:26:38Z,2020-12-20T09:26:38Z
ecQWoZzLXSM,kun's visual is such a heavenly angel.,Dwardy Bendaña,3,2020-12-20T06:08:34Z,2020-12-20T06:08:34Z
ecQWoZzLXSM,"I like the fact that Chenle ask help to Jisung, when he doesn't remember the animal he imitate.. in NCT LIFE WONDERLAND..",Diana Jane Reyes,4,2020-12-17T14:12:14Z,2020-12-17T14:12:14Z
ecQWoZzLXSM,Kun sangat manis,Nita Nur,0,2020-12-15T01:41:01Z,2020-12-15T01:41:01Z
ecQWoZzLXSM,Jisung voice cameo just scream cuteee,Syasya Ilias,1,2020-12-10T16:22:15Z,2020-12-10T16:22:34Z
ecQWoZzLXSM,kun vs everyone else at this point,alaykarts,1,2020-12-07T14:46:15Z,2020-12-07T14:46:15Z
ecQWoZzLXSM,i miss this hair colour on kun,alaykarts,0,2020-12-07T14:45:51Z,2020-12-07T14:45:51Z
ecQWoZzLXSM,요 복장으로 뭐 찍은 거 있나요 !? 촬영 틈틈히 썬앤문을 중간에 찍은 거 같은데 뭔가요 ㅠㅠㅠㅠ !,강아무개,0,2020-12-07T13:45:18Z,2020-12-07T13:45:18Z
ecQWoZzLXSM,I love this series😂😂😂,Athy Superb,0,2020-12-03T19:22:13Z,2020-12-03T19:22:13Z
ecQWoZzLXSM,4:55 si haechan ngegas,J,0,2020-11-29T06:56:33Z,2020-11-29T06:56:33Z
ecQWoZzLXSM,또보러왔당..♡,[조녜보스]수만 곤듀 09 ღ,0,2020-11-28T01:48:52Z,2020-11-28T01:48:52Z
ecQWoZzLXSM,I'm in love with Taeil 🌙,Melissa Payne,1,2020-11-21T09:14:10Z,2020-11-21T09:14:10Z
ecQWoZzLXSM,"My mom family basicly is Chinese,and my little family everything have shio
My shio is PIG we same",022_Regina Fotoula_8H,0,2020-11-20T13:41:44Z,2020-11-20T13:41:44Z
ecQWoZzLXSM,4 vocal kings of NCT😌,Ericalyn Gailo,2,2020-11-19T17:58:33Z,2020-11-19T17:58:33Z
ecQWoZzLXSM,From Home Team,Nice Coffee Time,3,2020-11-16T00:10:29Z,2020-11-16T00:10:29Z
ecQWoZzLXSM,Chenle is being savage throughout this video..haha,K-Lover Czennies Exo-L,1,2020-11-14T09:55:26Z,2020-11-14T09:55:26Z
ecQWoZzLXSM,Wait.. how i am same age as kun but he was born in the year of pig but im in the year of mice? Isit bcoz u were born in the first day after 1995?,Nurul Zahirah Sazali,0,2020-11-11T14:39:52Z,2020-11-11T14:39:52Z
ecQWoZzLXSM,"Haechan hitting the High note with just a simple AHH! 
😂",Universe Factory,0,2020-11-11T11:00:45Z,2020-11-11T11:00:45Z
ecQWoZzLXSM,haechan makes everything funnier i love his attitude so much,valeria elguera,0,2020-11-10T02:47:01Z,2020-11-10T02:47:01Z
ecQWoZzLXSM,kun and chenle are so cute bro jsjfej real dad and song tings,krysimp,1,2020-11-03T13:47:19Z,2020-11-03T13:47:19Z
