,text,date_published
0,sm waiting ren variaty show want,2021-03-09
1,love polite doyoung 0 57 gentle professional member,2021-03-08
2,xiaojun definitely go awsaz naturally awkward believe extrovert,2021-03-06
5,talk absolutely beautiful doyoung looks,2021-02-23
7,5 13 feel heartbeat heartbeat,2021-02-23
8,oml read 0 49 awkward bots,2021-02-22
10,1 04 1 10 iaio sun moon funny moment 1 50 1 56 conversation older younger formal manner 2 04 2 12 hot statement haechan 2 28 2 40 doyoung panic expression 3 18 3 40 sharp doyoung included taeil frantic answer 5 10 5 12 doyoung sexy expression 5 38 6 08 doyoung wish fulfilled 6 10 6 12 doyoung adorable anger 6 20 6 26 renjun wish fulfilled 6 30 6 38 jeno wish fulfilled favorite moments video,2021-02-19
12,words describe much love seeing taeil screen ofc heachan ot23,2021-02-14
14,please awsaz yuta winwin want interactions c,2021-02-14
16,haechan teail,2021-02-12
18,renjun feel awkward everyone friend,2021-02-10
19,wait wait one going talk funny moon taeil xd like never gonna expect funny could start talk even doyoung personality moon taeil best best,2021-02-10
25,pls sm make sun moon regular show channel next guest sm sunbaenims,2021-01-22
26,doren content,2021-01-17
29,please video funny,2021-01-16
30,need show called ren,2021-01-11
31,1 06 broad shoulders ahhahahaha,2021-01-10
33,fact watch many times see doyoung renjun interaction really want channel appearing show together fav ship dont really much sweet moments together,2021-01-08
35,doyoung renjun new content please,2021-01-03
37,8 minutes doyoung life mess,2021-01-01
38,1 07 love haechan laughs like,2020-12-29
39,fact two awsaz graduate pairs,2020-12-23
40,plsssss make ren segment first guest kun taehyung,2020-12-21
41,nct doyong speaks others mind business suju yesung speaks others minding busines ignore see similar chaotic vibes hahahaahah love 3,2020-12-20
43,jaemin inside two minds also jaemin ah nevermind sit grass comfi butt,2020-12-20
44,know taeil jenoo,2020-12-16
45,make jaemin appear johnny lol funniest ep ever,2020-12-16
46,love seeing doyoung jaemin together,2020-12-13
47,haechan done talking doyoung end mans whole career,2020-12-13
50,taeil cutie tt,2020-12-08
54,whole episode doyoung getting roasted memebers 8 minutes straight,2020-12-04
56,stopped say doyoung looks hella fine bye noow,2020-12-03
59,ever since doren awkbros episode shipped doyoung renjun beautiful,2020-11-29
63,need reality show renjun doyoung,2020-11-23
64,longest eps sun moon far u believe watched three times longer keep rewind every 10 secs want see doyoung moreeeeee,2020-11-23
65,one fav episode sun moon lol bias taeil n renjun,2020-11-23
66,6 50 priest haechan weds two couples time,2020-11-23
68,lmfaoao way haechan jeno laugh sync,2020-11-22
69,need doren show nowwwwwwww,2020-11-22
71,need jeno shotaro awsaz like jeno shotaro,2020-11-18
72,evil heachan,2020-11-16
73,6 09 renhyuck real soulmates,2020-11-15
74,vote yall nct must win loved,2020-11-15
75,jeno also jaemin haha wait end video,2020-11-14
76,haechan natural mc every nct content appears funny needs regular permanent show,2020-11-14
77,haechan best mc,2020-11-13
78,taeil nct dream lmfao,2020-11-12
79,4 17 favorite part whole sun moon series,2020-11-11
80,2 15 see doyoung renjun personality dotae renhyuck,2020-11-10
81,renjun doyoung savage bros instead,2020-11-10
84,idk cause awkward bros name video reason actually felt really awkward forced fun way ofcourse,2020-11-01
86,yeh im constantly pausing vid make feedback,2020-10-31
89,expected 00 liners always share brain cell,2020-10-30
90,expected 00 liners always share brain cell,2020-10-30
94,lee jeno handsome,2020-10-27
95,ending tho ahahah love nct content sm,2020-10-27
