,text,date_published
3,haechan giggling cute,2021-03-07
9,haechan cuteee,2021-02-24
12,3 56 haechan adorable ending favvvv,2021-02-21
13,omg cute even twenty pushups haechan babyyy,2021-02-21
18,sungchan shotaro,2021-02-17
20,winwin covering eyes whenever aegyo mood,2021-02-16
21,shotaro cute,2021-02-15
24,stop haechan taeil best hosts aegyo bit hilarious,2021-02-11
25,taeil aegyo winwin kiyowoooo taeil write diary home,2021-02-10
26,haechan well aegyo digusted lmao,2021-02-10
27,winwin called taeil cute,2021-02-07
29,dong sicheng still want thank person hair style,2021-02-04
30,1 35 totally relate haechan ಥ_ಥ,2021-02-03
32,taeil got idea ending fairy home sungchan culprit,2021-02-02
33,3 59 haechan also like aegyo,2021-02-01
37,sungchan super cute stop love,2021-01-22
39,sungchan aegyo lmaoooo shotaro cutest,2021-01-20
46,love sungchan awkward,2021-01-16
47,shotaro aegyo literally cutest,2021-01-16
51,pls whipped shotaro,2021-01-16
53,2 17 pls chenle,2021-01-16
55,sungchan cute cool time,2021-01-16
56,way shotaro introducing adorable,2021-01-16
59,sungchan shotaro cute,2021-01-12
64,spit americano sungchan aegyo see coming,2021-01-10
66,fall love shotaro,2021-01-07
71,idk wait neos clinging whipped shotaro winwin 3,2021-01-05
72,nct decide gagging moaning noises thing whats point,2021-01-04
73,amount shotaro cuteness omg babieeee sungchan gonna another chaotic bois lololol,2021-01-04
74,winwin covering eyes aegyo,2021-01-03
75,moon cute,2021-01-01
77,whoever said let haechan whatever know smart,2020-12-30
78,3 06 oh yeah taeil beatbox,2020-12-29
79,1 33 proud father haechan,2020-12-29
80,1 39 realized include nct u timeless taeil sub give video editor entertaining detailed 0,2020-12-29
81,ka seyo end gets everytime,2020-12-28
82,im leave 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56 3 56,2020-12-28
88,4 08 sorry culture shock rn,2020-12-24
89,brooo shotaro literal angel,2020-12-23
90,sungchan new nickname daddy long legs given jungwoo hyung yes,2020-12-20
91,face haechan taeil sun moon one favorite,2020-12-20
92,shotaro sungchang respectful obedient cutie lets protect two cost,2020-12-20
98,came back therapy finest,2020-12-14
100,see shotaro hates aego like mark jeno,2020-12-13
102,l love new members existense nct like giving sunshine lights fav kpop grp,2020-12-10
103,winwin watch sungchan aegyo really embrass new guy haechan,2020-12-10
104,shotaro adopt,2020-12-10
107,everytime xiaojun screen,2020-12-08
108,shotaro nothing aegyo,2020-12-08
109,4 46 haechan reaction taeil aegyo adorable omg giggles,2020-12-07
111,good welcome guyzz,2020-12-07
113,literally went speechless sungchan aegyo,2020-12-06
115,0 21 sungchan shotaro really said,2020-12-05
118,dunno see shotaro savage confident gay nct club,2020-12-05
121,haechan point shotaro aegyo shotaro quiet stay still coz im originally cute af,2020-12-04
122,shotaro good dancing mind thinks tiktok shotaro,2020-12-04
125,sungchan shotaro fighting like u much bias,2020-12-01
129,need shotaro contents activitiesssss,2020-11-27
131,sungchan shotaro,2020-11-27
134,3 10 xiaojun chenle winwin like proud moms,2020-11-26
137,haechan wow look young fresh taeil,2020-11-26
139,lol winwin reaction sungchan aegyo,2020-11-23
141,nctzen love support new members,2020-11-21
142,shotaro,2020-11-21
146,bruh winwin effortlessy stealing show hogging limelight,2020-11-20
147,realised sungchan pretty much looks like predebut taeyong side profiles,2020-11-19
148,shotaro cute,2020-11-18
153,nct dream aegyo best like,2020-11-15
157,4 30 attacked aegyo think weird shotaro infront buy anything,2020-11-13
158,sungchan shocked bcs aegyo,2020-11-13
160,ong need scene shutaroo,2020-11-12
161,shataro gives stray kids vibes always cute adorable stage whole different person haha,2020-11-12
163,haechan cutee,2020-11-11
165,lets enjoy shotaro uwuu phase turn wild,2020-11-10
166,nice,2020-11-10
168,taeil aegyo winwin bg cute,2020-11-07
169,4 00 haechan mosmdnmsksnamsmd turkish nctzennie,2020-11-07
170,telling sungchan comfortable nct like lucas shotaro jaemin either yuta,2020-11-07
172,know sungchan chaotic dream members would fit perfectly,2020-11-06
175,sungchan jungwoo friend afterall ofcourse crackhead,2020-11-04
177,2 27 heachan p e class,2020-11-04
178,stop replaying 4 10 cute unexpected,2020-11-02
180,mygashh cuteness overload,2020-10-31
182,haechan drama queen saying shotaro sungchan look soooo young boy age,2020-10-30
183,lmao chenle evil,2020-10-30
190,shotaro whole world pls hes adorable,2020-10-28
191,already love shotaro,2020-10-28
192,haechan literally got disgust aegyo hahahahahahahaahhaah,2020-10-28
193,4 06 let leave,2020-10-27
198,welcome shotaro sungchan,2020-10-26
200,sungchan shorato already biases,2020-10-26
202,sungchan issooo confident aegyeo cant,2020-10-25
203,moooom love shotaro duality bby,2020-10-25
205,haechannnn really brings best uwu,2020-10-25
206,shotaro surely attractive physical cute face long leg btw think heachan level variety talking communication way high compare heachan,2020-10-24
207,sungchan could already next bias need contents,2020-10-24
208,shotarooooo porque eres tan cute tu sungchan deja de ser tan hermoso,2020-10-24
210,think fell love shotaro sweet way bowed leaving haechan taeil told leave lol sunshine wanna protecc costs,2020-10-23
212,winwin whipped,2020-10-23
214,shotaro need aegyo living aegyo,2020-10-23
215,sungchan shotaro cute love guys,2020-10-22
218,winwin side profile tho,2020-10-22
221,way wheezed sungchan aegyo akbznxnd definitely chaotic member,2020-10-22
223,help laugh moon taeil,2020-10-22
224,shotaro adorable omg,2020-10-22
225,shotaro accent still strong uwuuuuuuuu,2020-10-22
226,istg dont see winwin shotaro interaction soon,2020-10-22
229,shotaro whole freaking embodiment cuteness need aegyo,2020-10-21
230,shotaro even need aegyo seriously embodies cuteness,2020-10-21
231,glad see treating sungchan shotaro like others hope see content two handsome men p haechan taeil always make smile haha,2020-10-21
232,1 33 2 14 2 20 2 31 3 09 3 23 3 51 4 00 4 11 4 18 im sorry xiaojun hot,2020-10-21
234,happy see debut nct time disappointed sm treating girl trainees fairly knowing shotaro rumored undergone training several months girls spent whole childhood training upsets lot,2020-10-20
235,shotaro learns korean us,2020-10-20
238,shotaro cuteeeeeee,2020-10-20
239,4 08 definitely way moon likes aegyo hahahaha body shaking cute sound lol xiaojun winwin chenle reaction xd,2020-10-20
240,way shotaro polite moon sun awwwww,2020-10-20
241,heechan think forgot jaemin got best aegyo nct,2020-10-20
242,3 31 3 34 gawwdd shotaro cute noona gonna pinch cheek,2020-10-20
243,starting whip shotaro club,2020-10-20
244,winwin covered eyes sungchan aegyo,2020-10-20
245,show nct members blue suit,2020-10-20
246,sungchan aegyo whot wooorld hahahaha,2020-10-20
247,ult bias renjun xiaojun mark doyouung taeyong jaehyun lucas yes almost nct members suddenly appears cute otter shotaro im end whole man careers well heart space welcome,2020-10-20
248,cute,2020-10-20
249,shotaro cutest thing ever want put pocket lol,2020-10-20
250,welcome shotaro sungchan,2020-10-20
251,shotaro video vs shortaro tiktok wtf,2020-10-19
253,shotaro need aegyo appearance already aegi,2020-10-19
254,stop laughing shotaro response sungchan hand 04 36,2020-10-19
255,stupid moon taeils face moon taeil,2020-10-19
257,subunit sungchan shotaro,2020-10-19
258,love already precious im adopting doyoung gets chance,2020-10-19
259,love shotaro cutie protect lot please,2020-10-19
260,cant stop laughing sungchan want bring mic end cuteeeeee omg,2020-10-19
261,_sungchan visuals is_ _shotaro ball sunshine _ _i wanna see yuta together speaking japanese _,2020-10-19
262,one talking xiaojun reaction sungchan aegyo adorable impressed lmao,2020-10-18
263,blessed recieve shotaro already new bias,2020-10-18
266,haechan aegyo really stunning ece haha lol,2020-10-18
267,sungchan already nct,2020-10-18
268,dare ask shotaro aegyo moment finally sat actually unintentional aegyo bc cuteness,2020-10-18
269,shotaro cute pls wanna squeeze living duality,2020-10-18
270,crying cuteness shotaro,2020-10-18
271,haechan channel became huge hit chenle many views omg two hahaha,2020-10-18
275,getting deja vu ad prior video living nct life,2020-10-18
276,shotaro cute looks like emoji,2020-10-18
277,gonna talk sungchan kinda looks like jaejoong already taeyong complaining sm really type lol,2020-10-18
282,seriously naive room haechan,2020-10-17
287,shotaro cute,2020-10-17
288,haechan seriously comedian material cannot lol going put variety show something really like spontaneous replies humour haha,2020-10-17
289,shotaro n sungchan looks cute,2020-10-17
290,watching sungchan aegyo watch see jungwoo win win kun show,2020-10-17
291,shotaro cute,2020-10-17
292,actually really liked sungchan aegyo wtf skfkkskfkdkd,2020-10-17
294,sungchan literally looks like taeyong yuta lovechild omfg,2020-10-16
298,너머 기엽다 cute shotaro cute taeil cutest boy arab ceezne,2020-10-16
299,nct spoiled resonance part 2 https youtu qy0rknwut84,2020-10-16
