video_id,text,author,like_count,date_published,date_updated
6vP9KGw9Lv8,4:03 noooo lucas and jungwoo would have been chingus if haechan hadnt cblocked them. Im pissed,Tear Here,0,2021-03-09T04:49:13Z,2021-03-09T04:49:13Z
6vP9KGw9Lv8,Winwin got first row seat to this chaos. Neomu jealous,Choco Mint,0,2021-03-08T18:51:12Z,2021-03-08T18:51:12Z
6vP9KGw9Lv8,just here begging luwoo to be in the same unit this 2021,Linelle Evangelista,0,2021-03-07T17:00:04Z,2021-03-07T17:00:04Z
6vP9KGw9Lv8,I should be talking about LuWoo couple but 6:47 caught my attention... Mark holding Jungwoo's hand in front of Lucas 👀,키노キノ,1,2021-03-07T11:04:14Z,2021-03-07T13:00:56Z
6vP9KGw9Lv8,1:08 눈빛 모야 개설에에엥ㄱ,li chl,2,2021-03-05T21:21:49Z,2021-03-05T21:21:49Z
6vP9KGw9Lv8,"Markhyuk: being gay 
Taeil and jungwoo: damage control 
Lucas: I don't really get whats going on but ill act like I do",maki maki,0,2021-03-05T20:14:50Z,2021-03-05T20:14:50Z
6vP9KGw9Lv8,"It's simple... Because if you see all mark and jungwoo video, mark can't feel jungwoo it's hyung.. because when Mark with jungwoo,mark adorable jungwoo like dongseng... That why they just became friends I thinks.. example mark always pinch jungwoo cheeks 🤣",rizqin zila,0,2021-03-02T17:34:10Z,2021-03-02T17:38:27Z
6vP9KGw9Lv8,What's with that look Mork 👀 6:11,Queenie,1,2021-03-01T11:04:11Z,2021-03-01T11:04:11Z
6vP9KGw9Lv8,Хэчан завидует на протяжении 7 минут,Олеся Смирнова,0,2021-02-24T23:12:37Z,2021-02-24T23:12:37Z
6vP9KGw9Lv8,2:42 they're have such a huge discussion 😭,Winda Grizela,0,2021-02-24T06:17:30Z,2021-02-24T06:17:30Z
6vP9KGw9Lv8,3:21 mark Lee is rapping hahaha,DANICA MAY BECERA,2,2021-02-23T13:03:05Z,2021-02-23T13:03:50Z
6vP9KGw9Lv8,이해찬 존나 웃기넼ㅋㅋㅋㅋㅋㅋ 맨날 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이마크 이마크 거리면서 ㅋㅋㅋㅋㅋㅋㅋㅋ개뻔뻔햌ㅋㅋㅋㅋ,ᄒᄋ,1,2021-02-23T11:57:27Z,2021-02-23T12:00:16Z
6vP9KGw9Lv8,Technically Jungwoo is even older because he was born in feb so it would actually be 1997 not 1998 so he just turned 23 🥳 (2021/2/22) cause the new year does start til end of March/beginning of April,L H,1,2021-02-23T03:53:11Z,2021-02-23T03:55:06Z
6vP9KGw9Lv8,Aku rewatch lagiiii sangking kangennya sama haechan,poppoCam,0,2021-02-22T08:53:00Z,2021-02-22T08:53:00Z
6vP9KGw9Lv8,lucas in there just vibing fr😭,Sana Bakkoush,0,2021-02-20T20:10:15Z,2021-02-20T20:10:15Z
6vP9KGw9Lv8,PLEASEEE I MISS LUWOO SO MUCH 😭😭😭,Francine Fernandez,0,2021-02-19T15:16:29Z,2021-02-19T15:16:29Z
6vP9KGw9Lv8,"Lucas has the same energy as Jeno. ""I don't know why am i here today""🤣",Amanda Claire,0,2021-02-19T05:46:06Z,2021-02-19T05:46:06Z
6vP9KGw9Lv8,This episode is more confusing than my maths class,Amanda Claire,0,2021-02-19T05:44:11Z,2021-02-19T05:44:11Z
6vP9KGw9Lv8,"7 minutes of Haechan tried to destroy hyung wall with Mark.
Jungwoo as an example.
Lucus as his supportive example.
Taeil as his supporting partner.",Calista Lee,3,2021-02-19T03:18:57Z,2021-02-19T03:18:57Z
6vP9KGw9Lv8,Error... 404.. Yo my brain doesnt get it ahaha it simply gives error ahaha,Zainab,0,2021-02-17T23:00:42Z,2021-02-17T23:00:42Z
6vP9KGw9Lv8,Taeil just enjoying the chaos,zed.k.,1,2021-02-17T15:54:48Z,2021-02-17T15:54:48Z
6vP9KGw9Lv8,Jungwoo lucas 💖💖💖💖💖💖,Ery Yustiana,0,2021-02-17T04:35:19Z,2021-02-17T04:35:19Z
6vP9KGw9Lv8,This is the most frustrating episode of sun and moon :) i have to think hard since i'm not good at thinking hard,Shin Shin,0,2021-02-17T02:09:20Z,2021-02-17T02:09:20Z
6vP9KGw9Lv8,Gosh mark you sound like you 3 having a polygamy relationship at 1:47,bree kwhan,0,2021-02-14T11:56:32Z,2021-02-14T12:00:53Z
6vP9KGw9Lv8,We haven't seen jungwoo and Lucas                                   together for a long time,zed.k.,1,2021-02-13T19:41:18Z,2021-02-13T19:41:18Z
6vP9KGw9Lv8,"정우 애기애기하다고 생각했는데 여기 정우 얼굴도 으른이고 마인드도 으른같아서 또 치인다,,",박지원,1,2021-02-12T09:02:27Z,2021-02-12T09:02:27Z
6vP9KGw9Lv8,족발보쌈으로 생각 중이었는데 이해찬이 족발보쌈 아니라는 거 듣고 정신 차렸다,와앙,0,2021-02-11T10:40:26Z,2021-02-11T10:40:26Z
6vP9KGw9Lv8,3:39   3:47  슈퍼엠에서도 글코 루카스팔척다리 왤케 인기많어?ㅋㅋ정우야 난 니다리인줄알았다ㅋ,봄봄이,2,2021-02-10T10:13:09Z,2021-02-10T10:13:09Z
6vP9KGw9Lv8,TBH I didn't even understood their arguement... I was watching like a dumb .... But then also I would say this video funny and cute cuz that's my job😁,YOGITA_ARMY_MULTIFANDOM,1,2021-02-09T14:41:57Z,2021-02-09T14:41:57Z
6vP9KGw9Lv8,해찬이 소울메이트 ㅠㅋㅋㅋㅋ,jiyeon so,0,2021-02-09T14:41:11Z,2021-02-09T14:41:11Z
6vP9KGw9Lv8,김정우 귀여워ㅠㅠㅠㅠㅠ🐶,또이,0,2021-02-08T17:20:16Z,2021-02-08T17:20:16Z
6vP9KGw9Lv8,그냥 정우 루카스가 개쿨한거같은뎈ㅋㅋㅋㅋ,뉴뉴뉴뉴뉴,2,2021-02-08T11:55:01Z,2021-02-08T11:55:01Z
6vP9KGw9Lv8,"그니까 한국고등학교에 대입해보면 
정우는 빠른98 이라 97이랑 같은학년 
루카스는 빠른99라 98이랑 같은 학년
마크는 99라 99랑 같은학년
고로 고3 고2 고1 순서임...ㅋㅋㅋㅋㅋㅋㅋㅋ사실상 친구는 없음ㅋㅋㅋㅋㅋㅋㅋㅋ 역시 네오하다네오해..",마크보면칭찬부터하는사람,2,2021-02-07T14:51:04Z,2021-02-07T14:51:04Z
6vP9KGw9Lv8,00:41 모야 레쓰기릿!부터 꺄항!까지 마빡깨버려...,마크보면칭찬부터하는사람,1,2021-02-07T14:41:51Z,2021-02-07T14:41:51Z
6vP9KGw9Lv8,haechan sounds jealous everytime Mark chose Jungwoo in every aspect 😂,minami ohm,1,2021-02-07T09:57:09Z,2021-02-07T09:57:09Z
6vP9KGw9Lv8,"the ""decision"" that mark and jungwoo made is just so romantic. 😍",minami ohm,1,2021-02-07T09:53:15Z,2021-02-07T09:53:15Z
6vP9KGw9Lv8,정우는 진짜 나이 상관없어 하는구나 ㅋㅋ 다 친구해도 된다고 하넹,*,0,2021-02-07T01:26:32Z,2021-02-07T01:26:32Z
6vP9KGw9Lv8,i still come back to this video from time to time 😂,ü,0,2021-02-06T15:44:01Z,2021-02-06T15:44:01Z
6vP9KGw9Lv8,LMAO I feel like this interview ends good with lucas and jungwoo but not between Mark and Haechan. 😂😆😂 Haechan-a don't explain everthing by logic because you'll encounter many on the way that doesn't have logic into it. Mark's love for you couldn't be measured with just honorary names and that's what really counts.,MinSioK 99,0,2021-02-06T07:35:33Z,2021-02-06T07:35:33Z
6vP9KGw9Lv8,"Maybe because other foreigners doesn't follow strict age addresses and it doesn't mean dropping the respect, it means the bonds are close enough that those things doesn't need to be heard.",MinSioK 99,1,2021-02-06T07:24:25Z,2021-02-06T07:24:51Z
6vP9KGw9Lv8,"haechan spends the first half of the video explaining the chaos that would happen if you don’t follow age rules, gets mark to admit that he decided to break the rules based on his heart, and then asks mark how mark’s heart is for haechan.  3:07. plot twist of the century",simmeringoo,0,2021-02-06T01:10:40Z,2021-02-06T01:10:40Z
6vP9KGw9Lv8,why can't I have a LuMarkWoo vlive :( nct 2020 ends without it feeling so sad,bao bao,0,2021-02-05T15:53:43Z,2021-02-05T15:53:43Z
6vP9KGw9Lv8,it's definitely my favourite episode of sun&moon,bao bao,0,2021-02-05T15:52:59Z,2021-02-05T15:52:59Z
6vP9KGw9Lv8,"지성이가 혼자 02라서 01이랑 친구 먹듯이 98도 정우 혼자라 외로우니까 99랑 전부 친구 먹으면 돼..내 맘 속 족보즈,",우리집하리보,0,2021-02-05T15:29:29Z,2021-02-05T15:29:29Z
6vP9KGw9Lv8,오늘 치킨 사준다! 마크 한 마리 나 세마리!,우리집하리보,0,2021-02-05T15:28:41Z,2021-02-05T15:28:41Z
6vP9KGw9Lv8,JOKBOZ. We need a content lmao,Maria Christina,0,2021-02-04T05:04:54Z,2021-02-04T05:04:54Z
6vP9KGw9Lv8,Why does Mark is very cool in this part 3:22,Jorgie Estelo,0,2021-02-03T11:13:36Z,2021-02-03T11:13:36Z
6vP9KGw9Lv8,i keeping saying that but we need to protect Lucas he's to precious,Bloom,0,2021-02-02T22:43:12Z,2021-02-02T22:43:12Z
6vP9KGw9Lv8,after rewatched this now i start to think how close jungwoo's bday to winwin's than winwin's to jaehyun's again lol winwin and jungwoo could be the same age friend too then🥺🥺🥺,vicivi qians,0,2021-02-02T15:08:32Z,2021-02-02T15:08:32Z
6vP9KGw9Lv8,6:52 u can see mark look at haechan when his face like angry🤣,amy sana,0,2021-01-31T20:06:44Z,2021-01-31T20:06:44Z
6vP9KGw9Lv8,content suggestion for donghyuk to call mark minhyung ah for a day =)))),Ruby Tiny,0,2021-01-30T16:29:56Z,2021-01-30T16:29:56Z
6vP9KGw9Lv8,"This episode is literally just talking about how haechan wanted to stop calling mark ""hyung"" ㅋㅋㅋ",S__carss carss,2,2021-01-27T08:24:22Z,2021-01-27T08:24:22Z
6vP9KGw9Lv8,0:41,기금토은메탈,0,2021-01-27T02:22:41Z,2021-01-27T02:22:41Z
6vP9KGw9Lv8,lol this video is exactly why mark won’t let haechan drop the hyung,simmeringoo,0,2021-01-27T00:52:30Z,2021-01-27T00:52:30Z
6vP9KGw9Lv8,"Watching this on Lucas’s birthday, happy 23rf birthday LUCASSSS",meghan dawe,0,2021-01-26T05:55:37Z,2021-01-26T05:55:37Z
6vP9KGw9Lv8,2:01 Lucas and Jungwoo in their own world,Gaby Tornay Crespo,10,2021-01-25T18:58:59Z,2021-01-25T18:58:59Z
6vP9KGw9Lv8,마크랑 정우는.. 무슨...,365일칼퇴ᄋ,1,2021-01-25T13:04:05Z,2021-01-25T13:04:05Z
6vP9KGw9Lv8,"it's Lucas's birthday. Happy birthday, Lucaseu~",Adley Ajriel Hakim,0,2021-01-25T07:30:24Z,2021-01-25T07:30:24Z
6vP9KGw9Lv8,해찬 마크 친구가 될수 있나 없나 콘텐츠로 만들어줘 창과 방패의 싸움 존잼일듯,golden rabbit,0,2021-01-24T04:32:20Z,2021-01-24T04:32:20Z
6vP9KGw9Lv8,2:59 Mark: Sun&Moon sshi 😂,heyitsmeain,4,2021-01-22T19:39:14Z,2021-02-22T06:10:16Z
6vP9KGw9Lv8,boy they really added lucas here just to make the mood lighter huh..,Uma Min,1,2021-01-22T09:09:16Z,2021-01-22T09:09:16Z
6vP9KGw9Lv8,"I like the editor caption: ""Kim Jungwoo says only correct things"" 🤣",Keyla Naomi,3,2021-01-22T04:36:11Z,2021-01-22T04:36:11Z
6vP9KGw9Lv8,사실 호칭만 형동생이지 이미 말도 편하게 하는 친구친구자나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 특히 해쨔니 너는 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,L,1,2021-01-21T15:34:48Z,2021-01-21T15:34:48Z
6vP9KGw9Lv8,엔시티 진짜 사랑해ㅠㅠ,EN JI YI,1,2021-01-21T02:41:17Z,2021-01-21T02:41:17Z
6vP9KGw9Lv8,외국인들ㅋㅋㅋㅋㅋㅋㅋㅋㅋ별게 다 gay choking임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김떵지,1,2021-01-19T10:27:31Z,2021-01-19T10:27:51Z
6vP9KGw9Lv8,"This is actually a very sensitive topic as u can sense the tension midway and how many cuts there were in between. It may seem funny and entertaining to watch but this talk may have cause drifts/distance towards certain members...

Long Explanation: (don't read if ur close-minded)




























Ages is a very strict topic in Korea and when an older (by year, JW in this case) decides to be friends with a younger (MK), it shows the level of comfortability and closeness between the two because they are evidently willing to set aside their ages for friendship. Which is why a certain member seems sensitive about it. What I'm saying is Hyuck may feel threatened that Mark is now closer to someone else than him when for 8 years, he was his closest friend. But there's no one to blame here really, it just happens in friendships. Mark probably felt really sad for Jungwoo for being the only 98 liner and wanted to make him feel not alone but I guess Mark didn't think much of it at that time that it could have hurt Hyuckie. But I'm pretty sure they're all still chill and friends but yeah certain incidents like these happen in real life too. And I know I don't know them personally and I'm only an audience but it happens to anyone and from what I've observed here (scripted or not), it happened to them too.",Hates SM but is SM TRASH,10,2021-01-19T04:07:51Z,2021-01-19T04:21:21Z
6vP9KGw9Lv8,"3:13 ""I thought we were soulmates""

It's so funny how Haechan looks truly upset with Mark treating other people without the formalities when he can't do that with Mark. My boy is really jealous like hahahhaha",lhyuckingdom,0,2021-01-18T18:32:29Z,2021-01-18T18:32:29Z
6vP9KGw9Lv8,I miss NCT daily jdgsvvs,I am a multifangirl john banana,1,2021-01-17T11:14:00Z,2021-01-17T11:14:00Z
6vP9KGw9Lv8,"루카스가 맞어ㅠㅠ같은 98없으니까 외로우니까맠이 친구해준고얌ㅜㅜㅜㅜ 뿌엥엥
나 NCT 자컨 사랑해♥",NY L,16,2021-01-17T09:21:22Z,2021-01-17T09:21:22Z
