video_id,text,author,like_count,date_published,date_updated
jluLTOq_f28,I SWEAR MARK IS PRESENT IN EVERY SUN AND MOON EPISODE LMAO,doie,0,2021-03-09T07:59:20Z,2021-03-09T07:59:20Z
jluLTOq_f28,KANGENN,Jaemin Ganteng,0,2021-03-08T08:19:47Z,2021-03-08T08:19:47Z
jluLTOq_f28,I don't know but when Yuta hugs and holds Mark's left hand 😭 (1:04),This is You,0,2021-03-08T05:50:15Z,2021-03-08T05:50:15Z
jluLTOq_f28,"3:32 , LUCAS IDK WHAT ARE YOU THINKING ABOUT BUT, SAME",YOSHI YOSHI,0,2021-03-08T05:37:48Z,2021-03-08T05:37:48Z
jluLTOq_f28,i rlly need to join them as a winwin stan TOT,YOSHI YOSHI,0,2021-03-08T05:34:52Z,2021-03-08T05:34:52Z
jluLTOq_f28,"00:24


00:36",it's me,0,2021-03-06T17:28:42Z,2021-03-06T17:29:28Z
jluLTOq_f28,I CANT DECIDE IF IM LUWIN OR MARWIN 🤣🤣🤣,flower,0,2021-03-05T20:24:54Z,2021-03-05T20:24:54Z
jluLTOq_f28,SO LUCAS JOIN THE WINWIN LOVER FANSCLUB? 😂😂😂,flower,0,2021-03-05T20:23:05Z,2021-03-05T20:23:05Z
jluLTOq_f28,90% of the comments are about yumark and yuwin😅,Nengcha Tuboi,1,2021-03-04T18:35:02Z,2021-03-04T18:35:02Z
jluLTOq_f28,Taeil represents all Winwin lovers 🥲🤧😂❤️❤️❤️,Mae Cagot,0,2021-03-04T17:59:53Z,2021-03-04T17:59:53Z
jluLTOq_f28,yuta winwin and mark invented poly amory,drippin nectar,0,2021-03-04T07:16:36Z,2021-03-04T07:16:36Z
jluLTOq_f28,unpopular opinion : we need more moments of jungwoo and winwin together,got7 blueprint,0,2021-03-03T17:31:54Z,2021-03-03T17:31:54Z
jluLTOq_f28,missing yuwin . .,hanny kirana,1,2021-03-03T16:12:51Z,2021-03-03T16:12:51Z
jluLTOq_f28,sun & moon interviewing the winwin lovers' club as if they're not literally the presidents of the club,ddzgdt,0,2021-03-03T03:56:13Z,2021-03-03T03:56:13Z
jluLTOq_f28,Winwin even have his own fanclub in nct.. Literally the two mcs is the biggest fan of him,Nurfarah Izzati,0,2021-03-02T15:25:03Z,2021-03-02T15:25:03Z
jluLTOq_f28,This show just way too funny,Chi Bui,0,2021-03-02T15:20:15Z,2021-03-02T15:20:15Z
jluLTOq_f28,"Yuta said about his love to winwin


Mark lee just behind him",Chi Bui,2,2021-03-02T15:18:26Z,2021-03-02T15:18:26Z
jluLTOq_f28,I say win you say win,Idahh Lailaa,0,2021-03-01T12:45:57Z,2021-03-01T12:45:57Z
jluLTOq_f28,윈윈사랑해진짜난너뿐야,성은,0,2021-03-01T12:33:02Z,2021-03-01T12:33:02Z
jluLTOq_f28,this is so fast ..,puku puku paw paw,0,2021-03-01T06:59:31Z,2021-03-01T06:59:31Z
jluLTOq_f28,I am just focused on how jungwoo fight with the sofa just to get some convenience,Hevi Triayunna,1,2021-03-01T02:49:03Z,2021-03-01T02:49:03Z
jluLTOq_f28,Jungwoo during 00:53 was so qt lol ~ // and yuta hugging mark ~,destiny ♡,0,2021-02-28T07:46:26Z,2021-02-28T07:47:17Z
jluLTOq_f28,watched this again just to check if it finally had jaehyun and ten but no... they're still not here,Linelle Evangelista,0,2021-02-27T03:38:25Z,2021-02-27T03:38:25Z
jluLTOq_f28,2:26 3:50 YuWin stan be like Mark,whirlwind yoh,0,2021-02-26T13:56:32Z,2021-02-26T13:59:23Z
jluLTOq_f28,나 지금까지 (°ㅜㅜ°),Lulu Saputri,0,2021-02-26T09:52:52Z,2021-02-26T09:52:52Z
jluLTOq_f28,WINWIN LOVERRRRRR,Natcha Phatcharachanon,0,2021-02-26T09:13:08Z,2021-02-26T09:13:08Z
jluLTOq_f28,"someone called this winwin's harem, i-",N H,0,2021-02-25T19:50:58Z,2021-02-25T19:50:58Z
jluLTOq_f28,I think it should be ten not lucas hahahahaha,Siti Nurfakhira,0,2021-02-25T18:27:17Z,2021-02-25T18:27:17Z
jluLTOq_f28,1.00 wkwkw kasihan banegt 😂,Agung Prastya,0,2021-02-25T18:11:17Z,2021-02-25T18:11:17Z
jluLTOq_f28,Haechan explaining Yuta's love towards Mark and Winwin but he interrupted. Nakamoto doesn't want to be exposed 😂🤣,Alliah Dianne,1,2021-02-23T13:40:06Z,2021-02-23T13:40:06Z
jluLTOq_f28,"2:40
Mark: I ship yuwin but I cannot say I ship yuwin",Chilli cherriii The chocolate orange,0,2021-02-23T01:27:45Z,2021-02-23T01:27:45Z
jluLTOq_f28,0:56 haechan laknak 😹😹😹,Sofia Ranti,0,2021-02-22T16:58:11Z,2021-02-22T16:58:11Z
jluLTOq_f28,I love taeil oppa,Kim HBi,0,2021-02-21T16:56:05Z,2021-02-21T16:56:05Z
jluLTOq_f28,Winwin my bby,Sabrina Khoirunnisa,1,2021-02-21T13:39:38Z,2021-02-21T13:39:38Z
jluLTOq_f28,0:52  6:44,n y,0,2021-02-20T11:03:39Z,2021-02-20T11:11:23Z
