video_id,text,author,like_count,date_published,date_updated
mSxR1l-vyuI,Unsubcribe,You Mee,0,2021-03-08T14:14:03Z,2021-03-08T14:14:03Z
mSxR1l-vyuI,"haechan: cat




daegal:",R B,0,2021-03-07T16:27:41Z,2021-03-07T16:27:41Z
mSxR1l-vyuI,im a baby nctzen all the comments said hendery is not this quiet really??? 😂,yume,0,2021-03-05T18:00:48Z,2021-03-05T18:00:48Z
mSxR1l-vyuI,The quiet blonde one seems very mature.,Bhagya k v,0,2021-03-05T15:50:10Z,2021-03-05T15:50:10Z
mSxR1l-vyuI,fav episode of sun and moon 🌻,Nuzulia Rohmah,0,2021-03-05T05:24:27Z,2021-03-05T05:24:27Z
mSxR1l-vyuI,Living for Doyoungs fake reactions,mai quyn,2,2021-03-02T00:34:01Z,2021-03-02T00:34:01Z
mSxR1l-vyuI,Kangen nct 2020 😭,Niken Zahra,0,2021-03-01T10:16:33Z,2021-03-01T10:16:33Z
mSxR1l-vyuI,헨드리가 네오하지 않다고 생각하시면 way v 디즈니 공주 한거 보고오시면 생각이 바뀔겁니다^^,정우 일루와,1,2021-02-28T15:30:40Z,2021-02-28T15:30:50Z
mSxR1l-vyuI,"I'm here in 2021, i miss nct 2020 💚",Nur Tamalia,2,2021-02-28T01:03:28Z,2021-02-28T01:03:28Z
mSxR1l-vyuI,"Mark is having very hard time to control his laughter 
He literally can’t hold his laugh",Rabail Altaf,2,2021-02-26T17:28:42Z,2021-02-26T17:28:42Z
mSxR1l-vyuI,"Xiaojun and Mork has two similiarity, especially their music dedication. Also lucas and hendery has their silimiliarity to entertaint. 
This we call law of blood hahaha",Himmatul Ulya,4,2021-02-24T05:28:38Z,2021-02-24T05:28:38Z
mSxR1l-vyuI,Doyoung is such a mood😂,Clarity,2,2021-02-19T07:54:56Z,2021-02-19T07:54:56Z
mSxR1l-vyuI,🌞🌻✨,Sun flower,1,2021-02-18T13:59:04Z,2021-02-18T13:59:04Z
mSxR1l-vyuI,doyoung being the best only audience and reactor lmao,Francine Guerra,3,2021-02-18T01:09:27Z,2021-02-18T01:09:27Z
mSxR1l-vyuI,Doyoung being a supportive mum 1:49,zed.k.,2,2021-02-17T16:24:42Z,2021-02-17T16:25:01Z
mSxR1l-vyuI,나중에 구구즈 끼리 뭔가 콘텐츠 해주면 좋겠다! 그리고 나도 99년생이고 또 외국인이기도 하니까 괜히 끼어들고 싶어 이 분위기 넘 부럽다,K K,2,2021-02-17T12:38:20Z,2021-02-17T12:38:20Z
mSxR1l-vyuI,Lucassss💚💚💚,Ery Yustiana,2,2021-02-17T02:41:57Z,2021-02-17T02:42:05Z
mSxR1l-vyuI,"I'm sorry, Doyoung reacting is too much!",UnLucky Puppy,1,2021-02-16T22:31:15Z,2021-02-16T22:31:15Z
mSxR1l-vyuI,miss this moment so muchh,Nurul Khabibah,0,2021-02-16T08:11:27Z,2021-02-16T08:11:27Z
mSxR1l-vyuI,Aún sigo esperando un Vlive de la 99 line,Tamara Flores,0,2021-02-12T18:50:33Z,2021-02-12T18:50:33Z
mSxR1l-vyuI,I found a Awzes on Mark and Xiaojun 🤔,Gaby Tornay Crespo,0,2021-02-12T05:13:11Z,2021-02-12T05:13:11Z
mSxR1l-vyuI,04:28,하트수진,0,2021-02-11T06:55:49Z,2021-02-11T06:55:49Z
