,text,date_published
0,someone tell chenle name pronounced,2021-03-08
1,2 38 hey whistles bias plz,2021-03-08
5,cute teddy bearssssssssss,2021-02-21
8,maybe really see resembles haechan iz one yena,2021-02-16
9,kun visuals underrated like visuals definitely different level,2021-02-15
12,miss nct 2020,2021-02-07
13,kun chenle ult fav duo times precious yass noticed powerful vocal line represented video like 4 gems indeed,2021-01-31
14,haechan says anything everyone gets flustered god indeed fair introduce chenle one makes haechan flustered nctzens experience neo peace,2021-01-28
15,nct really said idea two paired guys meet chenle dad dad also like kun video mesmerising every time came screen literally gasped visual unmatched think,2021-01-27
16,binge watching cause miss nct 2020,2021-01-24
17,chenle cute even without aegyo,2021-01-16
19,haechan saying please leave funniest part hahshshagshah,2021-01-16
20,1 19 chenle kun bear cute haechan time bicker rn pls kid,2021-01-16
21,one literally one haechan end every video 𝗿𝗮𝗶𝘀𝗲𝘀 𝗵𝗮𝗻𝗱 𝗞𝗵𝗮𝗦𝗬𝗲𝗢,2021-01-15
22,seriously laughed hard heechan hi teddy bear heechan cute funnny time,2021-01-12
23,yes chenle cute yes fans thinks cute wow kun pig wow different birthday never heard pudu never seen,2021-01-11
25,haechan chenle imitating peacocks best thing seen today,2021-01-10
27,kun freaking handsome love kunle bondings give real sibling vibe,2021-01-08
28,know feel like chenle looks like jimin bts little bit specially smiles,2021-01-06
30,kuuuuun excuse handsome,2020-12-31
32,chenle real scorpio believe sagittarius howwww,2020-12-27
33,kun kinda like chenle father love relationship,2020-12-27
34,haechan kun ults,2020-12-21
36,kun visual heavenly angel,2020-12-20
37,like fact chenle ask help jisung remember animal imitate nct life wonderland,2020-12-17
41,miss hair colour kun,2020-12-07
43,love series,2020-12-03
46,love taeil,2020-11-21
47,mom family basicly chinese little family everything shio shio pig,2020-11-20
48,4 vocal kings nct,2020-11-19
49,home team,2020-11-16
50,chenle savage throughout video haha,2020-11-14
51,wait age kun born year pig im year mice isit bcoz u born first day 1995,2020-11-11
52,haechan hitting high note simple ahh,2020-11-11
53,haechan makes everything funnier love attitude much,2020-11-10
54,kun chenle cute bro jsjfej real dad song tings,2020-11-03
55,aahhhh bbchenle calling bbjisung mid interview awee im soft,2020-10-31
57,taeil purpose looking sexy,2020-10-31
58,kun hot tho jawlines,2020-10-30
59,nct concept photo shoots happening background,2020-10-30
60,home members,2020-10-26
61,chenle love,2020-10-26
62,kun cuter teddy bear,2020-10-26
66,taeil definitely part teddy bear line mean come look,2020-10-24
67,interview solidify kun ultimate bias,2020-10-24
68,kun mom mama protec looks quite tired tho,2020-10-22
71,ads play home istg gonna skip,2020-10-21
72,oh please save mama kun kids,2020-10-21
73,chenle love u,2020-10-21
74,chenle calling jisung,2020-10-20
75,get stuck korean call help jisung,2020-10-20
76,sorry wanna see renjun winwin together,2020-10-20
77,days haechan crossing line funny rude,2020-10-19
78,like tell chenle hearing dolphin voice start,2020-10-19
81,stop commenting chenle haechan fighting cant stop liking comments,2020-10-18
84,look haechan reminds lee minho,2020-10-17
85,kun chenle china brothers taeil haechan korean brothers let get yuta shotaro japanese brothers,2020-10-16
87,chenle immitating sound peacocks watching 11 00 pm bro heard got scared asked hahaha,2020-10-16
91,whooped offscreen chenle said haechan isnt cute lmao,2020-10-16
92,haechan cuteeeee,2020-10-16
93,love kun already blocking ear,2020-10-16
94,lele really flamed hyuck like,2020-10-16
95,live kunle relationship chenle kun kid well younger brother adore much,2020-10-16
96,love intro love music edit makes happy keep repeating itttt,2020-10-15
97,kun freaking fine need speak,2020-10-15
98,yuta winwin together please,2020-10-15
101,rest nct trying photo shoot chenle haechan imitate peacocks,2020-10-15
