,text,date_published
3,gemini twins 4 hosts,2021-03-01
5,need meet nct four season,2021-02-28
7,missing nct 2020 sun moon,2021-02-26
10,6 13 go skinny dip funny kept adlibs la la love,2021-02-23
12,came back binge watch sun moon miss nct 2020,2021-02-23
13,rewatching see cute yangx2,2021-02-22
21,mess place looks bad,2021-02-13
24,wait yangyang say cute lol remain cute already cool,2021-02-07
25,2021 nct2020 blessing helplessly missing much lol,2021-02-06
26,one literary one haechan times feel tired haechan hae hard times youngest,2021-02-05
28,haechan yangyang jisung powerfull maknae line,2021-02-04
29,one going talk balloon chair call lol popped yangyang basically already sitting floor,2021-02-04
34,still remember way got excited see wayv x nct official interaction first time,2021-01-31
36,10th time watching ㅠㅠ,2021-01-30
37,im back knowing yangyang practically order gege around dhhdhsjsj obey bcs lazy put fight w youngest,2021-01-28
38,love fact haechan yangyang jisung acting cute innocent reality devil incarnates,2021-01-28
42,yangyang best behavior chaotic wayv love,2021-01-26
43,taeil fake maknae,2021-01-25
44,please make another episode 사랑해,2021-01-25
45,almost illegal impossible jisung called hyung,2021-01-24
48,ep maknaes hyung hyungs,2021-01-20
49,noticed ji limping walked hope heals completely,2021-01-19
50,waching 2021,2021-01-19
54,yangyang cute hhshdhshshshhssh literally evil baby,2021-01-16
56,going back cause miss nct 2020 time fly fast,2021-01-15
61,reaction taeil face 5 00 haechan said continue work harder like change please,2021-01-11
62,someone age taeil hear inner thoughts,2021-01-11
64,yangyang already fierce stage stage cutest like baby,2021-01-09
65,jisung hold mic hyung line sweating,2021-01-08
67,nct cute,2021-01-07
68,first time meeting wayv members especially hendery xiaojun yangyang,2021-01-07
70,let pretend take day,2021-01-05
74,hoping sun moon show permanent nct daily 2021,2021-01-01
77,mr sun mr moon amazing first episode alredy invite nct incridible,2020-12-29
81,haechan hard time youngest doyoung ye ur hard time doyoung getting bullied haechan hahahahahha,2020-12-26
84,dear sm need another sun moon made day probably sijeuni world,2020-12-21
85,god remember dropped lost minds never seem interact like,2020-12-21
86,yangyang want cool however winwin ten still call baby,2020-12-20
87,baby face sun teletubbies movie changed haechan face,2020-12-17
88,wow two months swear time faster flash,2020-12-17
89,yangyang want cool meanwhile ten still young boy,2020-12-14
90,think new nct member younger jisung,2020-12-13
91,3 14 born 2000 best universal truth,2020-12-12
93,yangyang looks normal super different wayv,2020-12-08
95,yangyang pass taeil grandchild,2020-12-05
96,ignored 3 weeks ago im free three days gonna watch nct contents yay,2020-12-04
99,yangyang jisung together,2020-12-02
101,2 56 think fine jisung get well soon maknenya nct dream,2020-12-01
102,nct 127 haechan nct dream jisung wayv yangyang 127 dream wayv jisung,2020-12-01
104,whoever putting subtitles probably crack lmao first time put yangayang instead yangyang hate intended pls correct subs coz reading yangayyang heeeelp,2020-11-29
107,sister shotaro renjun haechan jaemin jeno yangyang birth born like 2000,2020-11-23
108,haechan also maknae nct 127,2020-11-23
109,way jisung said dream members kills know talk back dorm,2020-11-22
111,jisung people think act like maknae endeavour childish yangyang people say cute whatever since maknae endeavour cooler,2020-11-19
113,thought taeil quite member nct,2020-11-18
115,jisung knee hurt,2020-11-17
117,yangyang chaotic great evil actor yet still softest pure fluff ball ever getting loved,2020-11-15
119,relate yo yangyang youngest family always get decide eat,2020-11-13
120,haechan sun cracks,2020-11-12
121,yangyang since im youngest wayv choose whatever want eat cook haechan jisung moving bye dream bye 127,2020-11-11
124,interview haechan like thank coming ok leave lmao,2020-11-08
126,yangyang sweet shy feels wrong lol,2020-11-04
129,nobody going talk weird ass set middle construction site,2020-11-01
130,33 lil cuties,2020-11-01
131,love rewatch legends talkshow,2020-11-01
133,came rewatch noticed spelled yangyang yangayang,2020-10-31
134,yang yang choose food eat maknae jisung oh wait nct dream hyunk jealous meanwhile uri jaemin cooking middle night baby jisungie haechan left chat,2020-10-31
135,jisung running away dragonfly urgh jisung babe yangyang sounds cute speaks korean sounds chinese,2020-10-30
136,way heechan says leave lmaoo,2020-10-30
137,title page visually pleasing,2020-10-30
138,putting la la love end,2020-10-29
144,think taeil haechan perfect duo hosting show think taeil shine show multi talented haechan already 37 5 viewership yeah,2020-10-27
145,haechan flat shameless love,2020-10-26
146,haechan surely one kind,2020-10-25
148,video released 1 month ago thought weeks ago,2020-10-24
149,seemed like haechan got cold,2020-10-24
150,video short enough yangyang jisung,2020-10-23
152,way jisung bent knees said hi,2020-10-22
153,jisung impressed lol,2020-10-22
154,ten child,2020-10-22
155,wayv evil maknae yangyang dream chick maknae jisung 127 witty maknae haechan,2020-10-22
157,haechan jisung let join wayv,2020-10-21
162,found nam joo hyuk vibe jisung,2020-10-21
165,know jisung yangyang look like age,2020-10-20
166,intro cute,2020-10-19
170,find funny editor puts haechan face sun like,2020-10-18
172,yangyang really cute bright lovely,2020-10-17
175,watch nct videos new albums listen music sure though haechan mean said four seasons nickname wayv,2020-10-17
176,starting know nct loving stan way guess late know em,2020-10-16
177,nct spoiling resonance part 2 https youtu qy0rknwut84,2020-10-16
178,lmao haechan jisung ready pack bags move wayv dorm,2020-10-16
179,wayv members considerate talking little devil hahahahaha everyone submits hahahahaha,2020-10-16
180,wayv member considerate omg yes love,2020-10-16
182,oh god pliiiis sub,2020-10-16
183,jisung forever gonna maknae,2020-10-16
185,yangyang really loved maknae,2020-10-15
187,fri hey weekend oh weekend oh watch sun moon fri watch sun moon bright dark reason watch oppa know go watch,2020-10-14
188,watching backlogs nct contents bc still class till saturday,2020-10-14
189,watching maekne whole class,2020-10-14
192,haechan nice yangyang laugh cuz knows little devil,2020-10-13
193,yangyang youngest decide eat haechan jisung haechan jisung hello wayv haechan wayv jisung,2020-10-13
194,haechans giving much teletubby sun,2020-10-13
195,jisung looks sooooo fine always love 3 like see jisung yangyang together hopefully interactions future,2020-10-13
198,korea hyungs noonas everything makdongie ph ur youngest u everything kase ikaw yung bata depungal,2020-10-13
200,omfg im dying everyone like ahh yes wayv members super considerate kind yangyang smiles goes like yeah lol devil wayv 33333,2020-10-13
202,haechan wont changing continue continue mischievous cute witty talented brother work hard nct feel fun yangyang want cool older brother jisung forever nct baby also dont want change much,2020-10-12
203,lmao yangyang like decide eat jisung face like maknae thing wrong,2020-10-12
204,stop smiling,2020-10-12
206,poor jisung 2016 2017 2018 2019 2020 still maknae love see like maknae,2020-10-12
209,called sun moon years finna go cry happiness thing,2020-10-12
211,manifesting exchange maknae position jisung 127 haechan wayv yangyang dream,2020-10-11
213,haechan really sounded like sore throat filming also heard un cut yearparty behind,2020-10-10
217,yangyang hard time wayv maknae maknae top little devil hahaaha,2020-10-10
219,haechan end video leave,2020-10-09
222,really wanted yangyang haechan interaction actually,2020-10-09
223,haechan born mc,2020-10-09
224,yangyang great actor hahahahaha,2020-10-09
227,1 52 hearing haechan saying yangyang feels unreal,2020-10-09
228,sun moon logo seems like logo cartoon kids,2020-10-09
229,yangyang _happy perks youngest_ haechan _gets best worlds hyung maknae_ jisung _regretting life decisions_,2020-10-09
232,really love corner happy ot23 interactions withewashed omg faces white compared original skin colour,2020-10-08
237,haechan sick voice heard different,2020-10-07
239,jisung really cute,2020-10-07
240,petition taeil haechan get married,2020-10-07
241,still people talk like wayv nct interaction wahhhh like sounded two different groups wayv literally part nct,2020-10-07
242,hope wayv always nct daily cause want always see interaction wayv nct 127 dreams,2020-10-06
243,got know nct wayv yangyang,2020-10-06
246,sorry multi stan would know legendary orange bed thingy run bts episodes lmao,2020-10-06
252,2 12 life youngest 7th child introvert extrovert family none elder siblings relating shit feel parents still knowing exist,2020-10-05
258,maknaes share concerns feat grandpa taeil sorry qwq,2020-10-04
261,4 48 okay yangyangie youre cool still youre cute love u,2020-10-04
262,happy see together omg like big dream come true also yangyang amazing fluent german english chinese korean legends relate,2020-10-04
264,hell home depot back lotttt lmfao theres cigarette butts ground dressed clean hale lumber yard,2020-10-04
266,hearing haechan says wayv got emotional omfg,2020-10-03
267,ok sun moon,2020-10-03
268,one thinking haechan voice sounds like cold,2020-10-03
272,haechan feel tired become maknae feel tired haechan,2020-10-03
274,sun looks beautiful,2020-10-03
275,love much,2020-10-03
277,third time watching video cuz cant take eyes yangyang,2020-10-03
278,keep mind views nct mv 24h nct 127 kick 6 8m never really reached 8m goals times believe united time give nct 2020 project get 10m views 24hrs fighting,2020-10-03
280,haechan evil maknae jisung cute soft maknae yangyang wants cool swag maknae baby taeil season maknae,2020-10-03
281,yangyang want cool already want cooler worry awesome maybe sometimes cute cool cool baby still cool never change 3 psd joke,2020-10-03
284,yangyang choose eat haechan jisung economy,2020-10-02
285,haechan hardest thing maknae group jisung say something haechan speak wisely hhahah u hidding man,2020-10-02
286,one noticed haechan voice quite different voice sounds catched flu runny nose,2020-10-02
288,vsauce xkito ign radbrad algreen teo photoshop,2020-10-02
292,almost 2 years waiting agony worth content,2020-10-02
294,hi youngest member dream youngest member nct whole really said clowns,2020-10-02
295,someone tell filming dump,2020-10-02
300,new favorite talk show miss episode seriously sunmoon background funny love,2020-10-02
302,yangyang really proved cool maknae unbuttoned shirt performing,2020-10-01
304,finally haechan yangyang one full video tt haechan said yangyang shared age yangyang aura like hyung ㅋㅋㅋ waiting moment like foreveeeeer happy,2020-10-01
