,text,date_published
0,came back confirm still one best things earth,2021-03-09
1,mark invented word bbangbbagi xd,2021-03-09
2,moon taeil made interview funny xd love english funny let get introduce,2021-03-09
3,johnny speaks english taeil always thankful love,2021-03-08
4,1 18 sounds like try speak korean,2021-03-08
5,miss moment,2021-03-07
9,mic banderous lmao fun,2021-03-06
10,funniest episode gonna lie,2021-03-05
12,taeil speaking korean american accent always funny,2021-03-03
13,im tired lauging help,2021-03-03
14,foreign swaggers lucas jaehyun lived america 4 years man,2021-03-03
15,basically invite mark episode fit combination,2021-03-02
16,going ignore ten beatboxed like talented rest members dang ten good,2021-02-28
17,god miss ot23 moments nct daily,2021-02-28
19,need subtitles tho naturally funny lol,2021-02-28
22,taeil mood,2021-02-26
23,please funny without trying,2021-02-25
24,lmao theyre cute together,2021-02-25
27,sorry came back ten house rap byee,2021-02-24
28,johnny whole ass mood,2021-02-23
29,haechan johnny taeil really compatible sense humor like go match energy,2021-02-23
31,mark talking korean haechan taeil ok understood johnny end man whole career suddenly talking english haechan taeil error 404 found,2021-02-22
32,one talking johnten duet johnny barely rapping ten beat box,2021-02-22
33,mark im canada ten im thailand yangyang im wayv ok,2021-02-21
34,omg funny,2021-02-21
35,jaehyun ok everyone,2021-02-20
36,funniest episode,2021-02-20
38,stop funny hahahaha,2021-02-19
39,taeil funniest member nct even try believe moon taeil supremacy,2021-02-19
40,one best nct video tis moon taeil mark laugh xd,2021-02-19
42,def share braincells johnny ep 5 thought would lay ground look whos lying ground ahaha,2021-02-17
43,boyfriend would never let go,2021-02-17
44,heachan left became drunk uncles outside house,2021-02-17
51,love show small wholesome,2021-02-14
52,anyone notice johnny really take shoes though haha,2021-02-13
53,anyone notice johnny really take shoes though haha,2021-02-13
55,hahahahahahahaha foreign swaggers definitely chaotic group loved mark literally collapsed laughter laughter machine xd,2021-02-13
56,whole show mess love,2021-02-13
57,sun moon moon go dont know cracks time hahahshsh,2021-02-12
58,gosh soo chaotic one video need foreign swaggers comeback 2021 ft taeil haechan,2021-02-12
60,tiring game funny imagine thinking word dancing laughing eyes wants pop,2021-02-12
61,one taeil let introduce brain stroke heart,2021-02-11
62,love combination need see hahaha,2021-02-11
63,taeil deserve love good things funny soft member diamond thank taeil best,2021-02-11
64,let get introduce xd moon taeil best always,2021-02-11
65,know funny mark falls,2021-02-10
68,please give us foreign swaggers contents,2021-02-08
71,5 33 mark hits ten laughing ah,2021-02-07
72,aaaaa miss contentㅠㅠ,2021-02-07
73,chaotic interview,2021-02-07
74,canada chicago thailand taiwan,2021-02-07
75,always thankful love moon taeil 2020 actually pronounciation reaaaally good,2021-02-06
