video_id,text,author,like_count,date_published,date_updated
1ElE5HV5d4o,"Now SM what are you waiting for
 Do & Ren Variaty show. I want it too.",Gaby Tornay Crespo,0,2021-03-09T02:53:10Z,2021-03-09T02:53:10Z
1ElE5HV5d4o,I love how polite was Doyoung 0:57 very gentle and professional member.,Gaby Tornay Crespo,0,2021-03-08T06:31:24Z,2021-03-08T06:31:24Z
1ElE5HV5d4o,xiaojun definitely should go to awsaz because he's naturally awkward 😭 i can't believe he's an extrovert,yanawookie,0,2021-03-06T08:40:45Z,2021-03-06T08:40:45Z
1ElE5HV5d4o,I'm getting weirded out how Jeno looks like Donghae 😂... I feel like Donghae guested in Sun and Moon,whirlwind yoh,0,2021-02-26T12:58:48Z,2021-02-26T12:58:48Z
1ElE5HV5d4o,아씨 다 기엽다,아넵,0,2021-02-24T02:56:25Z,2021-02-24T02:56:25Z
1ElE5HV5d4o,Can we just talk about how absolutely beautiful Doyoung looks!!!!,Felix's_Freckles00,0,2021-02-23T20:03:12Z,2021-02-23T20:03:12Z
1ElE5HV5d4o,7:50 | I heard tyong’s laughing 😭,orange & lemon cross,0,2021-02-23T15:59:09Z,2021-02-23T15:59:09Z
1ElE5HV5d4o,5:13 Can you feel my heartbeat ~ heartbeat ~ 😂,BAEkhyun,0,2021-02-23T14:58:36Z,2021-02-23T14:58:36Z
1ElE5HV5d4o,oml why did i read it 0:49 as ‘The Awkward Bots’,i want jaemin to adopt me,0,2021-02-22T09:36:49Z,2021-02-22T09:36:49Z
1ElE5HV5d4o,나유타 샤오쥔 어사즈 기원 1일차...,재은,0,2021-02-21T06:21:25Z,2021-02-21T06:21:25Z
